q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
3,1,1,1,,1.63,58.97,1,3,1,3,3
3,1,1,1,,1.55,48.99,1,,3,3,2
2,1,1,1,,1.55,58.97,1,4,2,4,4
3,1,1,2,B,,,1,3,2,3,3
3,2,1,1,,,,1,4,6,2,2
4,2,1,1,,1.75,96.16,4,4,8,,2
3,2,1,2,B,1.7,48.99,1,2,1,3,6
3,2,1,1,B,,,1,5,5,2,3
3,1,1,1,C E,1.52,45.36,1,3,2,2,1
3,1,1,1,,1.55,52.16,2,3,4,3,4
3,2,1,2,B,1.55,73.94,1,5,2,4,1
3,2,1,1,E,1.68,72.58,1,4,4,3,4
3,1,1,1,,1.52,53.98,1,3,6,4,4
3,1,1,2,A,1.5,47.63,1,2,5,4,
3,2,1,1,B,,,,1,4,3,4
3,2,1,1,,1.68,86.18,1,4,4,2,2
3,1,1,1,E,,,1,3,1,2,3
3,1,1,1,E,1.6,64.86,1,4,2,3,4
3,2,1,1,,1.68,71.67,1,2,6,2,5
3,2,1,,,,,1,3,4,1,4
3,2,1,1,,1.7,92.08,1,4,1,1,3
3,2,1,1,E,,,1,4,6,1,5
3,1,1,1,E,1.6,56.7,2,3,4,5,2
3,1,1,2,B,1.52,58.97,2,5,8,5,5
3,2,1,1,E,1.68,99.79,1,4,4,2,2
3,1,1,1,,1.5,44.91,1,3,8,3,4
3,2,1,1,,1.78,68.04,1,4,,2,2
3,2,1,1,,1.75,101.15,1,5,8,1,1
5,2,3,1,,1.75,77.11,1,4,1,3,3
5,1,3,1,E,1.6,63.5,2,4,7,3,5
6,2,3,1,,1.68,73.03,1,3,1,1,4
5,1,3,1,B,1.5,47.63,1,4,1,3,3
5,1,3,1,,1.65,68.04,1,2,3,1,2
5,1,3,1,,,,2,3,8,3,4
5,2,3,1,,,,1,3,1,1,2
5,1,3,1,,1.63,79.38,,4,4,2,6
5,1,3,1,,1.6,61.24,1,,,,
3,1,,1,,,,1,3,2,5,1
5,1,3,1,B,1.68,95.26,1,5,3,4,7
5,1,3,1,E,1.55,54.43,1,3,1,3,4
6,2,3,1,,,,1,3,6,2,3
5,1,3,1,,,,,2,2,3,1
5,2,3,1,E,1.75,65.77,1,3,6,2,3
5,2,3,1,E,1.68,81.65,1,5,5,1,3
,,,,,,,2,3,1,3,3
5,2,3,1,D,1.78,64.41,1,2,8,4,3
5,1,3,1,,1.65,69.4,1,4,,,
6,2,3,1,,1.63,53.52,1,3,5,3,5
5,2,3,1,,1.85,73.03,4,3,4,,2
5,2,3,1,E,1.78,63.96,1,3,4,1,4
7,1,4,2,B,1.52,45.81,1,3,5,2,3
7,2,4,2,B,,,1,3,6,3,3
5,2,3,1,E,1.75,117.94,1,,,,
3,1,1,2,C E,,,1,5,1,5,1
3,2,1,1,,1.65,46.72,1,2,4,2,3
6,1,4,1,E,1.75,84.82,4,4,6,4,2
6,1,4,1,A   E,,,3,3,4,4,4
7,2,4,2,BC,,,1,4,1,4,3
6,1,4,2,B,1.57,99.79,2,5,1,5,2
6,2,4,1,,1.75,88,1,4,8,4,4
5,1,4,1,,1.55,56.7,1,4,1,2,3
3,2,1,2,B,1.68,46.27,1,2,3,1,5
